"codigo_viagem","cnpj.x","placa","autorizacao_viagem","data_inicio_viagem","data_fim_viagem","sentido_linha","latitude","longitude","pdop","numero_imei","in_transbordo","codigo_viagem_transbordo","razao_social","cnpj.y","servico_regular","servico_fretado","servico_semiurbano","data_validade_csv","validade_seguro","ano_fabricacao","categoria_veiculo","nr_assentos_categoria","nr_assentos"
3888197,1745523000120,"OLL1H50",5589787,2021-09-15 08:33:59,2021-09-15 15:34:41,1,-12.17394158,-38.96599168,1.3,"f2f5821db129929f","Nao",NA,"M C TRANSPORTES & TURISMO EIRELI","01.745.523/0001-20","Sim","Sim","Nao",2021-11-23,2021-11-20,2014,"Executivo",47,47
3888201,3076172000137,"EHX0I21",5592598,2021-09-17 19:38:38,2021-09-18 09:27:30,1,-23.0171241760254,-48.0023498535156,0,"355269107479398","Nao",NA,"VICAMPE TRANSPORTES & TURISMO LTDA","03.076.172/0001-37","Nao","Sim","Nao",2023-07-01,2023-12-07,2020,"Executivo",62,62
3888236,6025632000196,"OIU5562",5590252,2021-09-16 15:08:07,2021-09-17 07:55:47,1,-7.53049898147583,-46.0369110107422,0,"358692101574541","Nao",NA,"MIRANDA NETO & CIA LTDA - EPP","06.025.632/0001-96","Sim","Sim","Nao",2021-10-28,2021-11-16,2012,"Executivo",50,50
3888255,9026330000120,"MQS2694",5587427,2021-09-12 13:07:22,2021-09-13 02:19:40,1,-20.8426990509033,-41.1305084228516,0,"356524082640011","Nao",NA,"VIACAO SANTA CLARA TRANSPORTE E TURISMO LTDA - ME","09.026.330/0001-20","Nao","Sim","Nao",2022-01-07,2023-06-30,2007,"Executivo",41,41
3888299,15363049000186,"FEF9663",5589887,2021-09-18 06:07:57,2021-09-19 16:59:54,1,-20.889656,-42.344765,1,"355371025963287","Nao",NA,"TRANSPORTES FERREIRA'S LTDA - ME","15.363.049/0001-86","Nao","Sim","Nao",2023-08-03,2023-08-19,2014,"Executivo",20,20
3888301,18363131000107,"BBO6244",5589381,2021-09-18 06:26:49,2021-09-18 22:09:19,1,-25.51246175,-49.2943835,1.3,"e8d3aec607533ff8","Nao",NA,"JK LOCADORA DE VEICULOS LTDA","18.363.131/0001-07","Nao","Sim","Nao",2022-08-30,2022-09-02,2017,"Executivo",16,16
3888302,18363131000107,"DTD2A16",5589333,2021-09-16 18:53:34,2021-09-23 13:45:58,1,-25.43300632,-49.40652217,1.3,"410dac1ded4a0ca5","Nao",NA,"JK LOCADORA DE VEICULOS LTDA","18.363.131/0001-07","Nao","Sim","Nao",2023-02-24,2024-02-26,2008,"Executivo",25,25
3888339,23343494000102,"IOO6743",5590172,2021-09-15 18:33:15,2021-09-16 05:41:14,1,-18.9253311157227,-46.9993476867676,0,"358186072483220","Nao",NA,"EXPRESSO SAO GERALDO LTDA","23.343.494/0001-02","Nao","Sim","Nao",2022-02-05,2023-11-02,2008,"Executivo",36,36
3888340,23343494000102,"NAN1355",5587906,2021-09-12 13:44:50,2021-09-13 01:42:48,1,-18.6069049835205,-46.5158767700195,0,"358186072483220","Nao",NA,"EXPRESSO SAO GERALDO LTDA","23.343.494/0001-02","Nao","Sim","Nao",2022-06-08,2023-11-02,2010,"Executivo",44,44
3888344,26628841000131,"OXD0797",5583708,2021-09-18 04:32:12,2021-09-18 07:30:52,1,-22.2364921569824,-45.9336166381836,0,"358776084718215","Nao",NA,"WTL TRANSPORTE TURISMO EIRELI","26.628.841/0001-31","Nao","Sim","Nao",2022-08-25,2024-04-27,2014,"Executivo",17,17
3888345,26664087000195,"MGX8H02",5588162,2021-09-12 16:28:12,2021-09-14 17:22:13,1,-19.8780479431152,-44.9413757324219,0,"865909045798655","Nao",NA,"COOPERSERRANA - COOPERATIVA DE TRANSPORTADORES ESCOLARES E ALTERNATIVOS DE NOVA SERRANA MG","26.664.087/0001-95","Nao","Sim","Nao",2023-08-09,2023-06-21,2004,"Executivo",50,50
3888346,26664087000195,"MGX8H02",5589512,2021-09-14 17:23:47,2021-09-17 21:21:38,1,-19.878719329834,-44.9393844604492,0,"865909045798655","Nao",NA,"COOPERSERRANA - COOPERATIVA DE TRANSPORTADORES ESCOLARES E ALTERNATIVOS DE NOVA SERRANA MG","26.664.087/0001-95","Nao","Sim","Nao",2023-08-09,2023-06-21,2004,"Executivo",50,50
3888347,26664087000195,"MGX8H02",5593205,2021-09-17 21:40:21,2021-09-19 16:22:39,1,-20.160623550415,-44.9175224304199,0,"865909045798655","Nao",NA,"COOPERSERRANA - COOPERATIVA DE TRANSPORTADORES ESCOLARES E ALTERNATIVOS DE NOVA SERRANA MG","26.664.087/0001-95","Nao","Sim","Nao",2023-08-09,2023-06-21,2004,"Executivo",50,50
3888350,27012168000173,"BYE7902",5589196,2021-09-17 10:16:02,2021-09-18 09:20:30,1,-19.0161304473877,-57.6240272521973,0,"358953083860856","Nao",NA,"OBEDE - EDOM TURISMO LTDA - ME","27.012.168/0001-73","Nao","Sim","Nao",2021-09-01,2023-06-05,1995,"Executivo",36,36
3888351,27012168000173,"KCM7745",5583589,2021-09-18 10:13:16,2021-09-19 09:38:15,1,-23.3952388763428,-45.6533889770508,0,"355740088731676","Nao",NA,"OBEDE - EDOM TURISMO LTDA - ME","27.012.168/0001-73","Nao","Sim","Nao",2021-12-14,2023-09-26,1995,"Executivo",42,42
3888373,33087859000139,"LMY2E45",5591715,2021-09-18 23:16:17,2021-09-19 23:59:11,1,0,0,0,"355474061751366","Nao",NA,"BEL TOUR TURISMO E TRANSPORTES LTDA","33.087.859/0001-39","Nao","Sim","Nao",2022-11-25,2023-07-05,2019,"Executivo",47,47
3888374,33087859000139,"LMY2E51",5591711,2021-09-18 22:42:31,2021-09-19 18:36:23,1,-22.8894992,-43.3278282,7.921,"355474061759229","Nao",NA,"BEL TOUR TURISMO E TRANSPORTES LTDA","33.087.859/0001-39","Nao","Sim","Nao",2023-11-30,2023-07-05,2019,"Executivo",47,47
3888380,35550863000117,"NVG2233",5591662,2021-09-17 12:50:36,2021-09-17 21:22:17,1,-10.7828931808472,-37.0596389770508,0,"355253114147925","Nao",NA,"HF PRESTADORA DE SERVICOS LTDA","35.550.863/0001-17","Nao","Sim","Nao",2022-07-13,2022-08-24,2010,"Executivo",19,19
3888381,35550863000117,"OHI1E17",5593647,2021-09-18 08:03:06,2021-09-18 10:03:55,1,-10.1778717041016,-36.8260955810547,0,"357104094948741","Nao",NA,"HF PRESTADORA DE SERVICOS LTDA","35.550.863/0001-17","Nao","Sim","Nao",2021-12-02,2023-08-19,2013,"Executivo",18,18
3888382,35842536000139,"KRO3519",5587670,2021-09-12 06:45:18,2021-09-14 08:03:08,1,-19.533163,-40.628292,1,"355371029350259","Nao",NA,"LIGSMAR ANTONIO ARRIGONI LTDA","35.842.536/0001-39","Nao","Sim","Nao",2023-04-08,2024-02-19,2014,"Executivo",44,44
3888383,35842536000139,"MML6926",5587666,2021-09-12 09:57:01,2021-09-14 05:52:16,1,-20.628471,-40.526314,1,"354868062187424","Nao",NA,"LIGSMAR ANTONIO ARRIGONI LTDA","35.842.536/0001-39","Nao","Sim","Nao",2024-01-13,2024-02-19,2014,"Executivo",45,45
3888384,35842536000139,"QKG1E32",5587693,2021-09-12 09:46:44,2021-09-14 06:51:09,1,-20.319618,-40.351246,1,"354868062265584","Nao",NA,"LIGSMAR ANTONIO ARRIGONI LTDA","35.842.536/0001-39","Nao","Sim","Nao",2021-09-30,2024-02-19,2015,"Executivo",48,48
3888385,36445041000139,"BBF1C84",5590392,2021-09-15 20:42:48,2021-09-17 19:53:49,1,-25.366268157959,-49.0941696166992,0,"357870091020094","Nao",NA,"MAXTUR TRANSPORTES LTDA","36.445.041/0001-39","Nao","Sim","Nao",2023-05-13,2023-05-05,2015,"Executivo",63,63
3888386,36445041000139,"BBF1C84",5593266,2021-09-17 20:46:43,2021-09-18 18:27:27,1,-25.3662624359131,-49.0942115783691,0,"357870091020094","Nao",NA,"MAXTUR TRANSPORTES LTDA","36.445.041/0001-39","Nao","Sim","Nao",2023-05-13,2023-05-05,2015,"Executivo",63,63
3888433,65827701000144,"DVD1H39",5586958,2021-09-12 18:06:23,2021-09-13 00:52:55,0,-20.731754,-46.60425,0,"351965111542071","Nao",NA,"FAMA TRANSPORTE E TURISMO LTDA - EPP","65.827.701/0001-44","Nao","Sim","Nao",2021-12-18,2023-06-16,2020,"Executivo",47,47
3888434,65827701000144,"GEV7A89",5593269,2021-09-18 00:51:50,2021-09-18 09:52:11,1,-23.331695,-46.82334,0,"351965111541230","Nao",NA,"FAMA TRANSPORTE E TURISMO LTDA - EPP","65.827.701/0001-44","Nao","Sim","Nao",2022-01-22,2023-06-16,2018,"Executivo",48,48
3888436,73477424000115,"MLD2225",5587281,2021-09-14 00:44:29,2021-09-14 03:41:43,0,-26.028801,-48.8611755,4.35,"862631032088204","Nao",NA,"LDO TRANSPORTE E TURISMO LTDA","73.477.424/0001-15","Nao","Sim","Nao",2023-05-18,2023-06-28,2012,"Executivo",28,28
3888437,73477424000115,"MLD2225",5590758,2021-09-17 15:17:09,2021-09-18 02:50:48,0,-23.7557774,-46.9022827,4.35,"862631032088204","Nao",NA,"LDO TRANSPORTE E TURISMO LTDA","73.477.424/0001-15","Nao","Sim","Nao",2023-05-18,2023-06-28,2012,"Executivo",28,28
3888438,73477424000115,"MLD2225",5590758,2021-09-16 13:53:13,2021-09-17 04:54:14,1,-27.1408997,-49.5478401,4.35,"862631032088204","Nao",NA,"LDO TRANSPORTE E TURISMO LTDA","73.477.424/0001-15","Nao","Sim","Nao",2023-05-18,2023-06-28,2012,"Executivo",28,28
3888441,76664986000166,"ATI1023",5585969,2021-09-12 20:48:36,2021-09-13 06:22:02,0,-22.64665,-50.402893,0,"354330087081090","Nao",NA,"TRANS ISAAK TURISMO LTDA","76.664.986/0001-66","Sim","Sim","Nao",2022-06-23,2021-10-25,2009,"Semileito",45,45
3888442,76664986000166,"BEZ1J15",5592031,2021-09-17 20:58:30,2021-09-18 08:20:57,1,0,0,0,"354529090836784","Nao",NA,"TRANS ISAAK TURISMO LTDA","76.664.986/0001-66","Sim","Sim","Nao",2022-02-12,2021-10-16,2017,"Executivo",59,59
3888443,76664986000166,"BEZ2B14",5586147,2021-09-12 06:10:16,2021-09-12 10:15:26,1,-25.460568,-49.164448,0,"354330086950329","Nao",NA,"TRANS ISAAK TURISMO LTDA","76.664.986/0001-66","Sim","Sim","Nao",2021-12-14,2021-10-25,2019,"Executivo",47,47
3888445,78172756000105,"MIF4020",5599541,2021-09-16 16:26:42,2021-09-25 08:27:33,1,-25.5214147,-49.2381508,0.8,"428502503458369319","Nao",NA,"MONTANA TURISMO LTDA","78.172.756/0001-05","Nao","Sim","Nao",2023-10-10,2023-06-30,2007,"Executivo",45,45
3888452,80227796000159,"ASR8431",5591936,2021-09-17 14:52:33,2021-09-18 07:46:59,1,-25.4387349,-49.24317153,99.99,"355673087613852","Nao",NA,"EXPRESSO PRINCESA DOS CAMPOS SA","80.227.796/0001-59","Sim","Sim","Nao",2021-12-09,2022-09-07,2010,"Executivo",42,42
3888453,80227796000159,"AUR6388",5590903,2021-09-16 21:27:33,2021-09-17 10:14:56,1,-24.4778588,-47.8281549,99.99,"354137072077052","Nao",NA,"EXPRESSO PRINCESA DOS CAMPOS SA","80.227.796/0001-59","Sim","Sim","Nao",2022-01-13,2022-09-07,2011,"Executivo",42,42
3888454,80227796000159,"AYB7699",5593124,2021-09-17 20:31:27,2021-09-18 08:39:48,1,-25.43880119,-49.24310573,99.99,"355673087995614","Nao",NA,"EXPRESSO PRINCESA DOS CAMPOS SA","80.227.796/0001-59","Sim","Sim","Nao",2021-10-27,2022-09-07,2014,"Executivo",42,42
3888455,80227796000159,"AYC1697",5591923,2021-09-17 14:17:20,2021-09-19 15:55:43,1,-25.43877,-49.243185,99.99,"357870095922410","Nao",NA,"EXPRESSO PRINCESA DOS CAMPOS SA","80.227.796/0001-59","Sim","Sim","Nao",2021-12-11,2022-09-07,2014,"Executivo",44,44
3888459,85172070000180,"MLW2218",5586495,2021-09-12 04:35:25,2021-09-12 20:47:34,1,-26.7813110351563,-53.1947402954102,0,"353881079220014","Nao",NA,"REISEBUS AUF TURISMO LTDA - ME","85.172.070/0001-80","Nao","Sim","Nao",2023-06-21,2023-05-13,2013,"Executivo",43,43
3888190,1031060000134,"PRK1218",5590327,2021-09-15 20:27:30,2021-09-16 08:05:29,1,-3.740562,-38.534984,0,"e2d2b5b335e80444","Nao",NA,"EXPRESSO SATELITE NORTE LTDA","01.031.060/0001-34","Sim","Sim","Nao",2022-06-23,2021-10-03,2017,"Executivo",45,45
3888191,1031060000134,"PRK6608",5590277,2021-09-16 18:35:13,2021-09-17 12:25:50,1,-2.551968,-44.155211,0,"d21aa5487e098517","Nao",NA,"EXPRESSO SATELITE NORTE LTDA","01.031.060/0001-34","Sim","Sim","Nao",2022-07-12,2021-10-03,2017,"Executivo",45,45
3888192,1031060000134,"RBU3F27",5590620,2021-09-16 09:29:09,2021-09-16 18:36:14,1,-5.130855,-42.804081,2,"358443074095639","Nao",NA,"EXPRESSO SATELITE NORTE LTDA","01.031.060/0001-34","Sim","Sim","Nao",2021-11-09,2021-10-03,2020,"Executivo",46,46
3888214,4162704000111,"PID4541",5591766,2021-09-17 19:41:53,2021-09-19 23:37:38,1,-5.11267280578613,-42.7938079833984,0,"355374093656882","Nao",NA,"SILVA E BARROS LTDA","04.162.704/0001-11","Nao","Sim","Nao",2021-09-08,2023-11-08,2014,"Executivo",30,30
3888222,4812711000111,"QPG0657",5588692,2021-09-17 18:08:26,2021-09-18 05:13:49,1,-20.1498832702637,-44.2372131347656,0,"865909047150228","Nao",NA,"COOPERATIVA DE TRANSPORTE INTERMUNICIPAL E INTERESTADUAL DE MINAS GERAIS LTDA -COOPERINTER","04.812.711/0001-11","Nao","Sim","Nao",2021-09-16,2024-02-03,2018,"Executivo",19,19
3888224,5233521000102,"AWW4388",5582591,2021-09-12 07:16:17,2021-09-13 01:36:39,0,-20.376733,-43.556947,0,"356496085496933","Nao",NA,"BRASIL SUL LINHAS RODOVIARIAS LTDA","05.233.521/0001-02","Sim","Sim","Nao",2021-11-17,2021-10-04,2012,"Executivo",44,44
3888225,5233521000102,"BAD6919",5592541,2021-09-17 18:59:19,2021-09-18 13:22:16,1,-23.314479,-51.152385,0,"353028105429652","Nao",NA,"BRASIL SUL LINHAS RODOVIARIAS LTDA","05.233.521/0001-02","Sim","Sim","Nao",2021-11-04,2021-10-04,2015,"Executivo",20,20
3888226,5233521000102,"BAD8977",5591842,2021-09-17 16:17:44,2021-09-18 08:36:39,1,-23.523861,-46.678544,0,"353028105417590","Nao",NA,"BRASIL SUL LINHAS RODOVIARIAS LTDA","05.233.521/0001-02","Sim","Sim","Nao",2022-09-09,2021-10-04,2015,"Executivo",50,50
3888227,5233521000102,"BBT6820",5588289,2021-09-12 18:39:18,2021-09-12 18:40:01,1,-23.316247,-51.14843,0,"356496088317458","Nao",NA,"BRASIL SUL LINHAS RODOVIARIAS LTDA","05.233.521/0001-02","Sim","Sim","Nao",2021-11-20,2021-10-04,2017,"Executivo",44,44
3888228,5233521000102,"BBT6824",5586121,2021-09-13 06:32:06,2021-09-16 22:30:10,1,-23.316012,-51.148463,0,"352550117936136","Nao",NA,"BRASIL SUL LINHAS RODOVIARIAS LTDA","05.233.521/0001-02","Sim","Sim","Nao",2021-11-17,2021-10-04,2017,"Executivo",46,46
3888235,6012643000131,"AXK4D95",5590721,2021-09-17 12:42:09,2021-09-17 22:30:57,1,-25.438176,-49.058227,9,"000000000091659522","Nao",NA,"RIO VERDE ONIBUS - EIRELI - ME","06.012.643/0001-31","Nao","Sim","Nao",2023-04-26,2023-06-18,2013,"Executivo",42,42
3888248,6789401000159,"ODO5428",5592579,2021-09-17 22:51:56,2021-09-18 08:49:27,1,-19.9237461090088,-43.9459762573242,0,"353690107290265","Nao",NA,"LINHARES HOTEL E TURISMO LTDA","06.789.401/0001-59","Sim","Sim","Nao",2022-07-06,2021-11-12,2012,"Executivo",56,56
3888249,7175375000131,"POT9987",5590940,2021-09-16 17:39:08,2021-09-17 19:48:52,1,-7.23141241073608,-39.3200073242188,0,"353783108841879","Nao",NA,"VIACAO PERNAMBUCANA TRANSPORTE E TURISMO LTDA","07.175.375/0001-31","Sim","Sim","Nao",2021-09-24,2023-08-19,2017,"Executivo",48,48
3888256,9094952000196,"DRK9130",5592631,2021-09-18 00:41:43,2021-09-18 10:44:42,1,-22.752009,-47.258473,0,"356429071518147","Nao",NA,"FAVI AUTO VIACAO LTDA","09.094.952/0001-96","Nao","Sim","Nao",2021-10-29,2023-07-01,2019,"Executivo",32,32
3888257,9094952000196,"DVB1459",5585798,2021-09-12 19:16:01,2021-09-13 05:27:45,0,-22.865938,-42.031313,0,"356429071420146","Nao",NA,"FAVI AUTO VIACAO LTDA","09.094.952/0001-96","Nao","Sim","Nao",2022-06-23,2023-07-01,2018,"Executivo",48,48
3888258,9094952000196,"DVB1459",5589399,2021-09-15 21:05:22,2021-09-16 05:17:24,0,-22.950071,-43.18157,0,"356429071420146","Nao",NA,"FAVI AUTO VIACAO LTDA","09.094.952/0001-96","Nao","Sim","Nao",2022-06-23,2023-07-01,2018,"Executivo",48,48
3888259,9094952000196,"DVB1459",5589399,2021-09-15 00:53:57,2021-09-15 09:09:46,1,-22.562346,-47.404703,0,"356429071420146","Nao",NA,"FAVI AUTO VIACAO LTDA","09.094.952/0001-96","Nao","Sim","Nao",2022-06-23,2023-07-01,2018,"Executivo",48,48
3888266,10681087000163,"OMM3893",5590578,2021-09-16 05:14:07,2021-09-16 12:27:39,1,-7.59540367126465,-35.2342872619629,0,"354148097806714","Nao",NA,"V. SONORIZACAO E PRODUCAO MUSICAL LTDA","10.681.087/0001-63","Nao","Sim","Nao",2023-12-13,2023-08-20,2013,"Executivo",30,30
3888268,10895377000100,"ANS3B05",5588318,2021-09-12 20:22:54,2021-09-19 19:11:17,1,-25.4786720275879,-49.2603302001953,0,"359539092276058","Nao",NA,"FW E CRW VIAGENS E TURISMO LTDA","10.895.377/0001-00","Nao","Sim","Nao",2022-02-17,2023-08-18,2005,"Executivo",44,44
3888270,11137897000116,"OYM4362",5587684,2021-09-12 07:30:21,2021-09-12 16:37:37,1,-8.10762691497803,-34.8886566162109,0,"358581624186299","Nao",NA,"V. V. S. VIAGENS, TURISMO E RECEPTIVOS LTDA","11.137.897/0001-16","Nao","Sim","Nao",2021-10-26,2022-10-26,2013,"Executivo",16,16
3888271,11137897000116,"PEE4609",5589078,2021-09-14 06:43:18,2021-09-14 09:30:25,1,-8.13011169433594,-34.8990783691406,0,"358581624186299","Nao",NA,"V. V. S. VIAGENS, TURISMO E RECEPTIVOS LTDA","11.137.897/0001-16","Nao","Sim","Nao",2022-04-25,2023-10-26,2011,"Executivo",32,32
3888272,11137897000116,"PEE4609",5591545,2021-09-17 06:06:38,2021-09-17 09:17:40,1,-8.09469223022461,-34.8828506469727,0,"358581624186299","Nao",NA,"V. V. S. VIAGENS, TURISMO E RECEPTIVOS LTDA","11.137.897/0001-16","Nao","Sim","Nao",2022-04-25,2023-10-26,2011,"Executivo",32,32
3888276,11786330000170,"EWU7A98",5591858,2021-09-17 19:51:23,2021-09-18 05:20:31,1,-22.4402236938477,-46.966178894043,0,"353834113004720","Nao",NA,"TRANSLUZ FRETAMENTO TRANSPORTE E TURISMO EIRELI","11.786.330/0001-70","Nao","Sim","Nao",2022-03-10,2023-06-08,2013,"Executivo",47,47
3888277,12077105000128,"KOQ6C20",5589677,2021-09-15 05:31:12,2021-09-20 04:43:05,1,-9.45155620574951,-40.4806137084961,0,"358778085058203","Nao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3888285,13812711000102,"GJM0152",5591318,2021-09-18 00:57:58,2021-09-19 12:14:32,1,-23.3523101806641,-46.1998291015625,0,"352000430583066","Nao",NA,"JM LOCACAO DE VEICULOS E SERVICOS DE TRANSPORTES LTDA","13.812.711/0001-02","Nao","Sim","Nao",2021-12-01,2023-08-26,2019,"Executivo",19,19
3888292,15221905000169,"LPZ6F61",5588384,2021-09-13 06:35:45,2021-09-13 21:08:17,1,-9.46700000762939,-35.5561103820801,0,"359476094574521","Nao",NA,"JULIANA DOS REIS BEVILAQUA EIRELI","15.221.905/0001-69","Nao","Sim","Nao",2022-02-18,2023-09-22,2011,"Executivo",50,50
3888293,15221905000169,"LPZ6F61",5589752,2021-09-15 05:52:57,2021-09-15 19:23:35,1,-9.6638240814209,-35.7104835510254,0,"359476094574521","Nao",NA,"JULIANA DOS REIS BEVILAQUA EIRELI","15.221.905/0001-69","Nao","Sim","Nao",2022-02-18,2023-09-22,2011,"Executivo",50,50
3888294,15221905000169,"LPZ6F61",5590526,2021-09-16 06:02:04,2021-09-16 19:34:13,1,-9.66554641723633,-35.7109069824219,0,"359476094574521","Nao",NA,"JULIANA DOS REIS BEVILAQUA EIRELI","15.221.905/0001-69","Nao","Sim","Nao",2022-02-18,2023-09-22,2011,"Executivo",50,50
3888295,15221905000169,"LPZ6F61",5591556,2021-09-17 05:52:12,2021-09-17 20:05:31,1,-9.59534740447998,-35.675422668457,0,"359476094574521","Nao",NA,"JULIANA DOS REIS BEVILAQUA EIRELI","15.221.905/0001-69","Nao","Sim","Nao",2022-02-18,2023-09-22,2011,"Executivo",50,50
3888296,15221905000169,"LPZ6F61",5593585,2021-09-18 05:41:03,2021-09-18 11:17:54,1,-9.63125991821289,-35.6962585449219,0,"359476094574521","Nao",NA,"JULIANA DOS REIS BEVILAQUA EIRELI","15.221.905/0001-69","Nao","Sim","Nao",2022-02-18,2023-09-22,2011,"Executivo",50,50
3888297,15221905000169,"OZQ0331",5589088,2021-09-14 05:58:30,2021-09-14 20:03:23,1,-9.52750682830811,-35.6042709350586,0,"863705035623669","Nao",NA,"JULIANA DOS REIS BEVILAQUA EIRELI","15.221.905/0001-69","Nao","Sim","Nao",2021-10-29,2023-09-22,2013,"Executivo",26,26
3888298,15221905000169,"OZQ0331",5593597,2021-09-18 05:43:21,2021-09-18 17:23:25,1,-9.64134502410889,-35.708683013916,0,"863705035623669","Nao",NA,"JULIANA DOS REIS BEVILAQUA EIRELI","15.221.905/0001-69","Nao","Sim","Nao",2021-10-29,2023-09-22,2013,"Executivo",26,26
3888300,17067125000131,"HMD9289",5587953,2021-09-12 10:12:21,2021-09-14 06:23:19,1,-18.8796520233154,-41.962028503418,0,"356342097539072","Nao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3888307,19225075000107,"IWV4289",5590947,2021-09-16 20:59:24,2021-09-20 07:09:51,1,-29.9914054870605,-51.1996688842773,0,"358620103362870","Nao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3888308,19225075000107,"JAD1508",5592886,2021-09-17 20:48:54,2021-09-20 20:49:51,1,-29.9914233333333,-51.2007433333333,6,"358620103465459","Nao",NA,"EMS TRANSPORTES E TURISMO EIRELI ME","19.225.075/0001-07","Sim","Sim","Nao",2022-09-06,2021-10-27,2017,"Executivo",52,52
3888309,19225075000107,"JAJ0B40",5590955,2021-09-16 16:11:18,2021-09-21 05:15:25,1,-29.9914073944092,-51.1997413635254,0,"358620103392877","Nao",NA,"EMS TRANSPORTES E TURISMO EIRELI ME","19.225.075/0001-07","Sim","Sim","Nao",2022-07-02,2021-10-06,2019,"Executivo",46,46
3888310,19225075000107,"JAJ0B60",5587566,2021-09-12 12:14:59,2021-09-17 22:55:05,1,-29.9915199279785,-51.1998291015625,0,"358620103268937","Nao",NA,"EMS TRANSPORTES E TURISMO EIRELI ME","19.225.075/0001-07","Sim","Sim","Nao",2022-08-17,2021-10-06,2019,"Executivo",63,63
3888311,19225075000107,"JAJ0B60",5593434,2021-09-17 23:55:25,2021-09-19 04:35:49,1,-29.9914875030518,-51.2002601623535,0,"358620103268937","Nao",NA,"EMS TRANSPORTES E TURISMO EIRELI ME","19.225.075/0001-07","Sim","Sim","Nao",2022-08-17,2021-10-06,2019,"Executivo",63,63
